timestamp,quote,symbol,digit
1700000000,1000.005,R_100,5
1700000001,1000.016,R_100,6
1700000002,1000.021,R_100,1
1700000003,1000.021,R_100,1
1700000004,1000.02,R_100,0
1700000005,1000.013,R_100,3
1700000006,1000.016,R_100,6
1700000007,1000.013,R_100,3
1700000008,1000.016,R_100,6
1700000009,1000.019,R_100,9
1700000010,1000.023,R_100,3
1700000011,1000.039,R_100,9
1700000012,1000.049,R_100,9
1700000013,1000.05,R_100,0
1700000014,1000.05,R_100,0
1700000015,1000.052,R_100,2
1700000016,1000.052,R_100,2
1700000017,1000.059,R_100,9
1700000018,1000.052,R_100,2
1700000019,1000.059,R_100,9
1700000020,1000.055,R_100,5
1700000021,1000.061,R_100,1
1700000022,1000.069,R_100,9
1700000023,1000.078,R_100,8
1700000024,1000.085,R_100,5
1700000025,1000.087,R_100,7
1700000026,1000.093,R_100,3
1700000027,1000.093,R_100,3
1700000028,1000.094,R_100,4
1700000029,1000.105,R_100,5
1700000030,1000.114,R_100,4
1700000031,1000.111,R_100,1
1700000032,1000.116,R_100,6
1700000033,1000.115,R_100,5
1700000034,1000.117,R_100,7
1700000035,1000.121,R_100,1
1700000036,1000.129,R_100,9
1700000037,1000.135,R_100,5
1700000038,1000.145,R_100,5
1700000039,1000.159,R_100,9
1700000040,1000.161,R_100,1
1700000041,1000.164,R_100,4
1700000042,1000.161,R_100,1
1700000043,1000.164,R_100,4
1700000044,1000.167,R_100,7
1700000045,1000.176,R_100,6
1700000046,1000.175,R_100,5
1700000047,1000.177,R_100,7
1700000048,1000.179,R_100,9
1700000049,1000.18,R_100,0
1700000050,1000.184,R_100,4
1700000051,1000.183,R_100,3
1700000052,1000.187,R_100,7
1700000053,1000.197,R_100,7
1700000054,1000.204,R_100,4
1700000055,1000.216,R_100,6
1700000056,1000.224,R_100,4
1700000057,1000.235,R_100,5
1700000058,1000.246,R_100,6
1700000059,1000.242,R_100,2
1700000060,1000.242,R_100,2
1700000061,1000.243,R_100,3
1700000062,1000.249,R_100,9
1700000063,1000.244,R_100,4
1700000064,1000.246,R_100,6
1700000065,1000.259,R_100,9
1700000066,1000.262,R_100,2
1700000067,1000.278,R_100,8
1700000068,1000.28,R_100,0
1700000069,1000.288,R_100,8
1700000070,1000.296,R_100,6
1700000071,1000.307,R_100,7
1700000072,1000.3,R_100,0
1700000073,1000.303,R_100,3
1700000074,1000.301,R_100,1
1700000075,1000.3,R_100,0
1700000076,1000.309,R_100,9
1700000077,1000.311,R_100,1
1700000078,1000.319,R_100,9
1700000079,1000.323,R_100,3
1700000080,1000.322,R_100,2
1700000081,1000.325,R_100,5
1700000082,1000.327,R_100,7
1700000083,1000.337,R_100,7
1700000084,1000.347,R_100,7
1700000085,1000.344,R_100,4
1700000086,1000.351,R_100,1
1700000087,1000.354,R_100,4
1700000088,1000.352,R_100,2
1700000089,1000.363,R_100,3
1700000090,1000.368,R_100,8
1700000091,1000.378,R_100,8
1700000092,1000.388,R_100,8
1700000093,1000.391,R_100,1
1700000094,1000.394,R_100,4
1700000095,1000.392,R_100,2
1700000096,1000.393,R_100,3
1700000097,1000.398,R_100,8
1700000098,1000.403,R_100,3
1700000099,1000.413,R_100,3
1700000100,1000.416,R_100,6
1700000101,1000.413,R_100,3
1700000102,1000.417,R_100,7
1700000103,1000.42,R_100,0
1700000104,1000.424,R_100,4
1700000105,1000.433,R_100,3
1700000106,1000.435,R_100,5
1700000107,1000.445,R_100,5
1700000108,1000.445,R_100,5
1700000109,1000.441,R_100,1
1700000110,1000.443,R_100,3
1700000111,1000.447,R_100,7
1700000112,1000.459,R_100,9
1700000113,1000.467,R_100,7
1700000114,1000.475,R_100,5
1700000115,1000.481,R_100,1
1700000116,1000.491,R_100,1
1700000117,1000.493,R_100,3
1700000118,1000.492,R_100,2
1700000119,1000.495,R_100,5
1700000120,1000.506,R_100,6
1700000121,1000.511,R_100,1
1700000122,1000.522,R_100,2
1700000123,1000.52,R_100,0
1700000124,1000.527,R_100,7
1700000125,1000.532,R_100,2
1700000126,1000.549,R_100,9
1700000127,1000.555,R_100,5
1700000128,1000.558,R_100,8
1700000129,1000.56,R_100,0
1700000130,1000.561,R_100,1
1700000131,1000.562,R_100,2
1700000132,1000.573,R_100,3
1700000133,1000.573,R_100,3
1700000134,1000.573,R_100,3
1700000135,1000.583,R_100,3
1700000136,1000.585,R_100,5
1700000137,1000.596,R_100,6
1700000138,1000.6,R_100,0
1700000139,1000.605,R_100,5
1700000140,1000.619,R_100,9
1700000141,1000.628,R_100,8
1700000142,1000.628,R_100,8
1700000143,1000.632,R_100,2
1700000144,1000.64,R_100,0
1700000145,1000.642,R_100,2
1700000146,1000.642,R_100,2
1700000147,1000.647,R_100,7
1700000148,1000.651,R_100,1
1700000149,1000.655,R_100,5
1700000150,1000.668,R_100,8
1700000151,1000.671,R_100,1
1700000152,1000.67,R_100,0
1700000153,1000.664,R_100,4
1700000154,1000.661,R_100,1
1700000155,1000.668,R_100,8
1700000156,1000.671,R_100,1
1700000157,1000.689,R_100,9
1700000158,1000.699,R_100,9
1700000159,1000.704,R_100,4
1700000160,1000.718,R_100,8
1700000161,1000.728,R_100,8
1700000162,1000.738,R_100,8
1700000163,1000.744,R_100,4
1700000164,1000.753,R_100,3
1700000165,1000.752,R_100,2
1700000166,1000.756,R_100,6
1700000167,1000.761,R_100,1
1700000168,1000.766,R_100,6
1700000169,1000.774,R_100,4
1700000170,1000.782,R_100,2
1700000171,1000.785,R_100,5
1700000172,1000.792,R_100,2
1700000173,1000.793,R_100,3
1700000174,1000.791,R_100,1
1700000175,1000.797,R_100,7
1700000176,1000.793,R_100,3
1700000177,1000.806,R_100,6
1700000178,1000.806,R_100,6
1700000179,1000.803,R_100,3
1700000180,1000.801,R_100,1
1700000181,1000.8,R_100,0
1700000182,1000.807,R_100,7
1700000183,1000.81,R_100,0
1700000184,1000.818,R_100,8
1700000185,1000.828,R_100,8
1700000186,1000.831,R_100,1
1700000187,1000.843,R_100,3
1700000188,1000.841,R_100,1
1700000189,1000.844,R_100,4
1700000190,1000.842,R_100,2
1700000191,1000.852,R_100,2
1700000192,1000.854,R_100,4
1700000193,1000.868,R_100,8
1700000194,1000.879,R_100,9
1700000195,1000.885,R_100,5
1700000196,1000.89,R_100,0
1700000197,1000.892,R_100,2
1700000198,1000.891,R_100,1
1700000199,1000.89,R_100,0
1700000200,1000.894,R_100,4
1700000201,1000.893,R_100,3
1700000202,1000.891,R_100,1
1700000203,1000.905,R_100,5
1700000204,1000.916,R_100,6
1700000205,1000.924,R_100,4
1700000206,1000.92,R_100,0
1700000207,1000.923,R_100,3
1700000208,1000.922,R_100,2
1700000209,1000.922,R_100,2
1700000210,1000.924,R_100,4
1700000211,1000.938,R_100,8
1700000212,1000.944,R_100,4
1700000213,1000.942,R_100,2
1700000214,1000.95,R_100,0
1700000215,1000.95,R_100,0
1700000216,1000.958,R_100,8
1700000217,1000.963,R_100,3
1700000218,1000.973,R_100,3
1700000219,1000.981,R_100,1
1700000220,1000.986,R_100,6
1700000221,1000.998,R_100,8
1700000222,1001.006,R_100,6
1700000223,1001.014,R_100,4
1700000224,1001.013,R_100,3
1700000225,1001.012,R_100,2
1700000226,1001.025,R_100,5
1700000227,1001.022,R_100,2
1700000228,1001.024,R_100,4
1700000229,1001.02,R_100,0
1700000230,1001.026,R_100,6
1700000231,1001.034,R_100,4
1700000232,1001.034,R_100,4
1700000233,1001.032,R_100,2
1700000234,1001.037,R_100,7
1700000235,1001.045,R_100,5
1700000236,1001.048,R_100,8
1700000237,1001.05,R_100,0
1700000238,1001.054,R_100,4
1700000239,1001.052,R_100,2
1700000240,1001.056,R_100,6
1700000241,1001.064,R_100,4
1700000242,1001.063,R_100,3
1700000243,1001.06,R_100,0
1700000244,1001.061,R_100,1
1700000245,1001.069,R_100,9
1700000246,1001.07,R_100,0
1700000247,1001.073,R_100,3
1700000248,1001.088,R_100,8
1700000249,1001.092,R_100,2
1700000250,1001.099,R_100,9
1700000251,1001.105,R_100,5
1700000252,1001.107,R_100,7
1700000253,1001.119,R_100,9
1700000254,1001.12,R_100,0
1700000255,1001.128,R_100,8
1700000256,1001.128,R_100,8
1700000257,1001.138,R_100,8
1700000258,1001.149,R_100,9
1700000259,1001.15,R_100,0
1700000260,1001.159,R_100,9
1700000261,1001.153,R_100,3
1700000262,1001.15,R_100,0
1700000263,1001.155,R_100,5
1700000264,1001.166,R_100,6
1700000265,1001.168,R_100,8
1700000266,1001.17,R_100,0
1700000267,1001.173,R_100,3
1700000268,1001.17,R_100,0
1700000269,1001.171,R_100,1
1700000270,1001.178,R_100,8
1700000271,1001.181,R_100,1
1700000272,1001.181,R_100,1
1700000273,1001.187,R_100,7
1700000274,1001.191,R_100,1
1700000275,1001.193,R_100,3
1700000276,1001.193,R_100,3
1700000277,1001.197,R_100,7
1700000278,1001.196,R_100,6
1700000279,1001.204,R_100,4
1700000280,1001.219,R_100,9
1700000281,1001.223,R_100,3
1700000282,1001.222,R_100,2
1700000283,1001.224,R_100,4
1700000284,1001.222,R_100,2
1700000285,1001.22,R_100,0
1700000286,1001.221,R_100,1
1700000287,1001.227,R_100,7
1700000288,1001.238,R_100,8
1700000289,1001.247,R_100,7
1700000290,1001.251,R_100,1
1700000291,1001.258,R_100,8
1700000292,1001.261,R_100,1
1700000293,1001.26,R_100,0
1700000294,1001.261,R_100,1
1700000295,1001.277,R_100,7
1700000296,1001.276,R_100,6
1700000297,1001.273,R_100,3
1700000298,1001.271,R_100,1
1700000299,1001.278,R_100,8
1700000300,1001.275,R_100,5
1700000301,1001.278,R_100,8
1700000302,1001.281,R_100,1
1700000303,1001.283,R_100,3
1700000304,1001.287,R_100,7
1700000305,1001.282,R_100,2
1700000306,1001.287,R_100,7
1700000307,1001.286,R_100,6
1700000308,1001.282,R_100,2
1700000309,1001.286,R_100,6
1700000310,1001.285,R_100,5
1700000311,1001.295,R_100,5
1700000312,1001.301,R_100,1
1700000313,1001.303,R_100,3
1700000314,1001.304,R_100,4
1700000315,1001.301,R_100,1
1700000316,1001.309,R_100,9
1700000317,1001.316,R_100,6
1700000318,1001.31,R_100,0
1700000319,1001.31,R_100,0
1700000320,1001.314,R_100,4
1700000321,1001.312,R_100,2
1700000322,1001.314,R_100,4
1700000323,1001.315,R_100,5
1700000324,1001.325,R_100,5
1700000325,1001.336,R_100,6
1700000326,1001.346,R_100,6
1700000327,1001.358,R_100,8
1700000328,1001.351,R_100,1
1700000329,1001.356,R_100,6
1700000330,1001.362,R_100,2
1700000331,1001.364,R_100,4
1700000332,1001.368,R_100,8
1700000333,1001.377,R_100,7
1700000334,1001.384,R_100,4
1700000335,1001.384,R_100,4
1700000336,1001.383,R_100,3
1700000337,1001.388,R_100,8
1700000338,1001.381,R_100,1
1700000339,1001.382,R_100,2
1700000340,1001.398,R_100,8
1700000341,1001.407,R_100,7
1700000342,1001.417,R_100,7
1700000343,1001.427,R_100,7
1700000344,1001.428,R_100,8
1700000345,1001.421,R_100,1
1700000346,1001.428,R_100,8
1700000347,1001.433,R_100,3
1700000348,1001.439,R_100,9
1700000349,1001.44,R_100,0
1700000350,1001.446,R_100,6
1700000351,1001.448,R_100,8
1700000352,1001.454,R_100,4
1700000353,1001.45,R_100,0
1700000354,1001.469,R_100,9
1700000355,1001.472,R_100,2
1700000356,1001.478,R_100,8
1700000357,1001.473,R_100,3
1700000358,1001.473,R_100,3
1700000359,1001.477,R_100,7
1700000360,1001.484,R_100,4
1700000361,1001.48,R_100,0
1700000362,1001.486,R_100,6
1700000363,1001.497,R_100,7
1700000364,1001.497,R_100,7
1700000365,1001.506,R_100,6
1700000366,1001.518,R_100,8
1700000367,1001.517,R_100,7
1700000368,1001.511,R_100,1
1700000369,1001.512,R_100,2
1700000370,1001.521,R_100,1
1700000371,1001.527,R_100,7
1700000372,1001.52,R_100,0
1700000373,1001.522,R_100,2
1700000374,1001.52,R_100,0
1700000375,1001.524,R_100,4
1700000376,1001.524,R_100,4
1700000377,1001.536,R_100,6
1700000378,1001.531,R_100,1
1700000379,1001.534,R_100,4
1700000380,1001.539,R_100,9
1700000381,1001.544,R_100,4
1700000382,1001.549,R_100,9
1700000383,1001.558,R_100,8
1700000384,1001.567,R_100,7
1700000385,1001.575,R_100,5
1700000386,1001.583,R_100,3
1700000387,1001.583,R_100,3
1700000388,1001.59,R_100,0
1700000389,1001.594,R_100,4
1700000390,1001.593,R_100,3
1700000391,1001.596,R_100,6
1700000392,1001.603,R_100,3
1700000393,1001.605,R_100,5
1700000394,1001.61,R_100,0
1700000395,1001.616,R_100,6
1700000396,1001.616,R_100,6
1700000397,1001.624,R_100,4
1700000398,1001.628,R_100,8
1700000399,1001.637,R_100,7
1700000400,1001.644,R_100,4
1700000401,1001.643,R_100,3
1700000402,1001.643,R_100,3
1700000403,1001.644,R_100,4
1700000404,1001.649,R_100,9
1700000405,1001.652,R_100,2
1700000406,1001.657,R_100,7
1700000407,1001.66,R_100,0
1700000408,1001.662,R_100,2
1700000409,1001.66,R_100,0
1700000410,1001.669,R_100,9
1700000411,1001.67,R_100,0
1700000412,1001.672,R_100,2
1700000413,1001.675,R_100,5
1700000414,1001.681,R_100,1
1700000415,1001.685,R_100,5
1700000416,1001.698,R_100,8
1700000417,1001.7,R_100,0
1700000418,1001.706,R_100,6
1700000419,1001.715,R_100,5
1700000420,1001.711,R_100,1
1700000421,1001.714,R_100,4
1700000422,1001.726,R_100,6
1700000423,1001.731,R_100,1
1700000424,1001.733,R_100,3
1700000425,1001.744,R_100,4
1700000426,1001.746,R_100,6
1700000427,1001.747,R_100,7
1700000428,1001.758,R_100,8
1700000429,1001.763,R_100,3
1700000430,1001.767,R_100,7
1700000431,1001.766,R_100,6
1700000432,1001.766,R_100,6
1700000433,1001.77,R_100,0
1700000434,1001.77,R_100,0
1700000435,1001.771,R_100,1
1700000436,1001.775,R_100,5
1700000437,1001.785,R_100,5
1700000438,1001.789,R_100,9
1700000439,1001.795,R_100,5
1700000440,1001.794,R_100,4
1700000441,1001.809,R_100,9
1700000442,1001.801,R_100,1
1700000443,1001.803,R_100,3
1700000444,1001.817,R_100,7
1700000445,1001.826,R_100,6
1700000446,1001.836,R_100,6
1700000447,1001.842,R_100,2
1700000448,1001.842,R_100,2
1700000449,1001.854,R_100,4
1700000450,1001.862,R_100,2
1700000451,1001.875,R_100,5
1700000452,1001.877,R_100,7
1700000453,1001.879,R_100,9
1700000454,1001.883,R_100,3
1700000455,1001.882,R_100,2
1700000456,1001.881,R_100,1
1700000457,1001.887,R_100,7
1700000458,1001.885,R_100,5
1700000459,1001.896,R_100,6
1700000460,1001.891,R_100,1
1700000461,1001.891,R_100,1
1700000462,1001.896,R_100,6
1700000463,1001.897,R_100,7
1700000464,1001.902,R_100,2
1700000465,1001.919,R_100,9
1700000466,1001.923,R_100,3
1700000467,1001.931,R_100,1
1700000468,1001.934,R_100,4
1700000469,1001.939,R_100,9
1700000470,1001.944,R_100,4
1700000471,1001.943,R_100,3
1700000472,1001.942,R_100,2
1700000473,1001.942,R_100,2
1700000474,1001.949,R_100,9
1700000475,1001.951,R_100,1
1700000476,1001.953,R_100,3
1700000477,1001.953,R_100,3
1700000478,1001.961,R_100,1
1700000479,1001.96,R_100,0
1700000480,1001.967,R_100,7
1700000481,1001.973,R_100,3
1700000482,1001.975,R_100,5
1700000483,1001.974,R_100,4
1700000484,1001.97,R_100,0
1700000485,1001.979,R_100,9
1700000486,1001.981,R_100,1
1700000487,1001.982,R_100,2
1700000488,1001.994,R_100,4
1700000489,1001.99,R_100,0
1700000490,1001.999,R_100,9
1700000491,1002.005,R_100,5
1700000492,1002.005,R_100,5
1700000493,1002.0,R_100,0
1700000494,1002.004,R_100,4
1700000495,1002.013,R_100,3
1700000496,1002.015,R_100,5
1700000497,1002.015,R_100,5
1700000498,1002.014,R_100,4
1700000499,1002.02,R_100,0
1700000500,1002.028,R_100,8
1700000501,1002.026,R_100,6
1700000502,1002.036,R_100,6
1700000503,1002.042,R_100,2
1700000504,1002.041,R_100,1
1700000505,1002.046,R_100,6
1700000506,1002.056,R_100,6
1700000507,1002.054,R_100,4
1700000508,1002.05,R_100,0
1700000509,1002.059,R_100,9
1700000510,1002.066,R_100,6
1700000511,1002.075,R_100,5
